name_subject_y,name_subject_y,slope,intercept,mean_squared_errorstatic
Cơ sở dữ liệu,Cơ sở dữ liệu,1.0,0.0,0.0,True
Tin học đại cương,Cơ sở dữ liệu,1.1861687413554631,0.5467588750576304,1.5407716817785975,True
Tiếng Anh chuyên ngành 1 IT,Cơ sở dữ liệu,0.5573997233748271,2.6029506685108346,0.7534614005430048,True
Nhập môn ngành và kỹ năng mềm IT,Cơ sở dữ liệu,1.239280774550484,-0.5282618718303356,0.24544849136827013,True
Tiếng Anh 1,Cơ sở dữ liệu,0.8930843706777317,0.6433794375288153,0.44741514266687143,True
Lập trình hướng đối tượng và Java cơ bản,Cơ sở dữ liệu,1.888888888888887,-4.54444444444443,1.0518145402946823e-30,True
Đại số,Cơ sở dữ liệu,0.5555555555555552,3.222222222222224,6.573840876841765e-32,True
Nguyên lý hệ điều hành,Cơ sở dữ liệu,0.16652835408022132,6.584223144306132,0.2570987142052151,True
Công nghệ Web,Cơ sở dữ liệu,1.0,0.7000000000000002,0.0,True
Đồ án cơ sở 1 - IT,Cơ sở dữ liệu,2.222222222222221,-10.111111111111104,1.0518145402946823e-30,True
Vật lý,Cơ sở dữ liệu,0.2112033195020747,6.3745919778699855,0.7894416781927155,True
Cấu trúc dữ liệu và giải thuật,Cơ sở dữ liệu,0.8392807745504843,2.4784047948363286,1.5621892321090114,True
Lập trình Java nâng cao,Cơ sở dữ liệu,2.5555555555555536,-10.07777777777776,9.466330862652142e-30,True
Tiếng Anh chuyên ngành 2,Cơ sở dữ liệu,0.8080221300138312,0.8239465191332416,1.0934079196762463,True
Kiến trúc máy tính,Cơ sở dữ liệu,-0.2571230982019363,9.343047487321346,1.0461758618923214,True
Tiếng Anh 2,Cơ sở dữ liệu,0.40968188105117587,4.086602120792991,1.1145144203678092,True
Đồ án cơ sở 2_IT,Cơ sở dữ liệu,0.0,8.4,0.0,True
Chuyên đề 1 (IT),Cơ sở dữ liệu,0.5555555555555552,3.222222222222224,6.573840876841765e-32,True
Tiếng Anh 3,Cơ sở dữ liệu,-0.21558326476359269,7.45892145072473,0.3271442812836254,True
Phân tích và thiết kế hệ thống,Cơ sở dữ liệu,0.28962655601659765,4.603402489626554,0.15537851544490555,True
Tiếng Anh chuyên ngành & thực hành 1,Cơ sở dữ liệu,-0.2222222222222223,7.711111111111111,7.888609052210118e-31,True
Công nghệ web nâng cao,Cơ sở dữ liệu,-0.5555555555555552,11.477777777777776,0.0,True
Toán rời rạc,Cơ sở dữ liệu,0.0,9.0,0.0,True
Hệ thống số,Cơ sở dữ liệu,1.2222222222222212,-0.8111111111111047,0.0,True
Mạng máy tính,Cơ sở dữ liệu,0.5811894882434301,2.005458736745043,0.9179660878028789,True
Công nghệ phần mềm,Cơ sở dữ liệu,-1.1111111111111105,14.755555555555553,1.0518145402946823e-30,True
Chuyên đề 2,Cơ sở dữ liệu,-0.5555555555555552,10.577777777777776,0.0,True
Vi điều khiển,Cơ sở dữ liệu,0.3333333333333329,4.733333333333336,0.0,True
Giải tích,Cơ sở dữ liệu,1.9999999999999993,-7.099999999999993,7.888609052210118e-31,True
Tiếng Anh chuyên ngành & thực hành 2,Cơ sở dữ liệu,-0.5555555555555552,11.377777777777775,2.1036290805893647e-30,True
Xác suất thống kê,Cơ sở dữ liệu,2.4444444444444433,-11.622222222222213,0.0,True
Đồ án cơ sở 3 IT,Cơ sở dữ liệu,0.5555555555555552,3.8222222222222237,6.573840876841765e-32,True
Lập trình di động,Cơ sở dữ liệu,0.11111111111111065,7.644444444444448,2.629536350736706e-31,True
Thực tập doanh nghiệp IT,Cơ sở dữ liệu,0.0,9.4,0.0,True
Automat và Ngôn ngữ hình thức,Cơ sở dữ liệu,1.3333333333333317,-1.6666666666666536,3.1554436208840472e-30,True
Chuyên đề 3 (IT),Cơ sở dữ liệu,0.0,7.7,0.0,True
Đồ án cơ sở 4 (IT),Cơ sở dữ liệu,2.6666666666666656,-12.033333333333324,1.0518145402946823e-30,True
Đồ họa máy tính,Cơ sở dữ liệu,2.4444444444444446,-10.02222222222222,6.310887241768095e-30,True
Lập trình mạng,Cơ sở dữ liệu,0.2222222222222213,7.3888888888888955,0.0,True
